Date,et
2017-05-01,3.7035816382414504e-05
2017-06-01,3.8388289010394486e-05
2017-07-01,4.346577355612317e-05
2017-08-01,4.216442125195119e-05
2017-09-01,3.341836835488505e-05
2017-10-01,2.5510715275560527e-05
2017-11-01,1.909014474244359e-05
2017-12-01,1.6458413819710518e-05
2018-01-01,1.9043404828739176e-05
2018-02-01,2.23248402467362e-05
2018-03-01,3.484578372223996e-05
2018-04-01,3.766753838069391e-05
2018-05-01,3.5551168105665536e-05
2018-06-01,3.780337355434936e-05
2018-07-01,4.475383108503619e-05
2018-08-01,3.910803699712643e-05
2018-09-01,3.1664192652901946e-05
2018-10-01,2.5879850911735493e-05
2018-11-01,1.856006024283383e-05
2018-12-01,1.7433532664609053e-05
2019-01-01,1.943170204297928e-05
2019-02-01,2.223859127776004e-05
2019-03-01,3.286391067342486e-05
2019-04-01,3.793807748421314e-05
2019-05-01,3.585197829085071e-05
2019-06-01,3.9143547398272314e-05
2019-07-01,4.369536100246559e-05
2019-08-01,4.1989027467362004e-05
2019-09-01,3.2870996689637434e-05
2019-10-01,2.7342773797804037e-05
2019-11-01,1.6766738561178512e-05
2019-12-01,1.6962650496221793e-05
2020-01-01,1.9350984516904354e-05
2020-02-01,2.3601311672963672e-05
2020-03-01,3.3024309546615575e-05
2020-04-01,3.689780275516177e-05
2020-05-01,3.529060404693487e-05
2020-06-01,3.988622208475238e-05
2020-07-01,4.401559085426423e-05
2020-08-01,4.11010270327799e-05
2020-09-01,3.130261336827728e-05
2020-10-01,2.611118355993685e-05
2020-11-01,1.671039660050376e-05
2020-12-01,1.6915576940985525e-05
2021-01-01,1.932807888108415e-05
2021-02-01,2.182651821031999e-05
2021-03-01,3.365507163952746e-05
2021-04-01,3.740440042083512e-05
2021-05-01,3.57851670591209e-05
2021-06-01,3.940813261627288e-05
2021-07-01,4.324836144813395e-05
2021-08-01,3.918962086038385e-05
2021-09-01,3.235836232394991e-05
2021-10-01,2.539527247853697e-05
2021-11-01,1.8258229842929615e-05
2021-12-01,1.788947640618348e-05
2022-01-01,2.0143102007059744e-05
2022-02-01,2.1824880489924792e-05
2022-03-01,3.407221773227969e-05
2022-04-01,3.8431377713920815e-05
2022-05-01,3.720899440808145e-05
2022-06-01,4.0237212920835105e-05
2022-07-01,4.4798115720785446e-05
2022-08-01,3.9948540768678166e-05
2022-09-01,3.229005826947637e-05
2022-10-01,2.650832623811551e-05
2022-11-01,1.740447874538811e-05
2022-12-01,1.6736384886742584e-05
